hold,ticker,j,current_weight,dw_map,abs_dw_map,p_dir,p_required_recovery,recovery_gate_type,P_pos0,P_neg0,candidate_direction,approved_by_relaxed_gate,selected_after_truncation,is_existing_holding,is_new_buy,is_dust,score,implemented_dw,implemented_trade_abs,reason_if_dropped,used_as_extra_funder,extra_funding_amount,funding_rank,funding_reason,protected_from_funding,funding_protection_reason,recovery_decision_no_trade,recovery_implementation_case,turnover_cap_applied,buy_topup_enabled,buy_topup_used
2,A,0,0.0,5.3323329623885295e-06,5.3323329623885295e-06,0.5043909889270713,0.575,new_buy,0.5043909889270713,0.4956090110729286,buy,False,False,False,True,False,2.6895806961875703e-06,0.0,0.0,low_score_or_below_asymmetric_gate,False,0.0,,,False,,True,empty_candidate_set,False,True,False
2,AAPL,1,0.06656772235649458,-1.7237055768016674e-05,1.7237055768016674e-05,0.4977363224785905,0.525,existing_sell,0.5022636775214094,0.4977363224785905,sell,False,False,True,False,False,8.579508748330996e-06,0.0,0.0,low_score_or_below_asymmetric_gate,False,0.0,,,False,,True,empty_candidate_set,False,True,False
2,ABBV,2,0.0,-3.23234624648023e-05,3.23234624648023e-05,0.504800087274314,,ineligible,0.4951999127256859,0.504800087274314,sell,False,False,False,False,False,1.6316886673240216e-05,0.0,0.0,low_score_or_below_asymmetric_gate,False,0.0,,,False,,True,empty_candidate_set,False,True,False
2,ABT,3,0.0,-3.606698550589523e-05,3.606698550589523e-05,0.5027545955381006,,ineligible,0.4972454044618993,0.5027545955381006,sell,False,False,False,False,False,1.8132842710294896e-05,0.0,0.0,low_score_or_below_asymmetric_gate,False,0.0,,,False,,True,empty_candidate_set,False,True,False
2,ACN,4,0.0,-6.005874403044053e-06,6.005874403044053e-06,0.5051273659521082,,ineligible,0.4948726340478918,0.5051273659521082,sell,False,False,False,False,False,3.0337315174488327e-06,0.0,0.0,low_score_or_below_asymmetric_gate,False,0.0,,,False,,True,empty_candidate_set,False,True,False
2,ADBE,5,0.015135111881253308,-1.9948991056891036e-05,1.9948991056891036e-05,0.48625429553264604,0.525,existing_sell,0.5137457044673539,0.48625429553264604,sell,False,False,True,False,False,9.700282592955606e-06,0.0,0.0,low_score_or_below_asymmetric_gate,False,0.0,,,False,,True,empty_candidate_set,False,True,False
2,ADI,6,0.0,2.0207463620323154e-05,2.0207463620323154e-05,0.497654502809142,0.575,new_buy,0.497654502809142,0.502345497190858,buy,False,False,False,True,False,1.0056335261005743e-05,0.0,0.0,low_score_or_below_asymmetric_gate,False,0.0,,,False,,True,empty_candidate_set,False,True,False
2,ADM,7,0.0,-2.4424708322802378e-05,2.4424708322802378e-05,0.5003818251240931,,ineligible,0.4996181748759068,0.5003818251240931,sell,False,False,False,False,False,1.2221680128687482e-05,0.0,0.0,low_score_or_below_asymmetric_gate,False,0.0,,,False,,True,empty_candidate_set,False,True,False
2,ADP,8,0.011024025387242826,-2.227125250435158e-05,2.227125250435158e-05,0.5006545573555883,0.525,existing_sell,0.4993454426444117,0.5006545573555883,sell,False,False,True,False,False,1.1150204064320676e-05,0.0,0.0,low_score_or_below_asymmetric_gate,False,0.0,,,False,,True,empty_candidate_set,False,True,False
2,ADSK,9,0.0,1.4987563289819156e-05,1.4987563289819156e-05,0.5094365352097311,0.575,new_buy,0.5094365352097311,0.4905634647902689,buy,False,False,False,True,False,7.63521231360203e-06,0.0,0.0,low_score_or_below_asymmetric_gate,False,0.0,,,False,,True,empty_candidate_set,False,True,False
2,AEE,10,0.0,-1.7293642846908862e-05,1.7293642846908862e-05,0.49776359570174006,,ineligible,0.50223640429826,0.49776359570174006,sell,False,False,False,False,False,8.608145846259031e-06,0.0,0.0,low_score_or_below_asymmetric_gate,False,0.0,,,False,,True,empty_candidate_set,False,True,False
2,AEP,11,0.0,-2.9734688921927996e-05,2.9734688921927996e-05,0.49503627338678885,,ineligible,0.5049637266132111,0.49503627338678885,sell,False,False,False,False,False,1.4719749594226669e-05,0.0,0.0,low_score_or_below_asymmetric_gate,False,0.0,,,False,,True,empty_candidate_set,False,True,False
2,AES,12,0.0,2.5344713599553322e-05,2.5344713599553322e-05,0.5026182294223531,0.575,new_buy,0.5026182294223531,0.4973817705776469,buy,False,False,False,True,False,1.2738715074624124e-05,0.0,0.0,low_score_or_below_asymmetric_gate,False,0.0,,,False,,True,empty_candidate_set,False,True,False
2,AFL,13,0.0,2.8298781362847146e-06,2.8298781362847146e-06,0.504690994381716,0.575,new_buy,0.504690994381716,0.49530900561828395,buy,False,False,False,True,False,1.4282140105806099e-06,0.0,0.0,low_score_or_below_asymmetric_gate,False,0.0,,,False,,True,empty_candidate_set,False,True,False
