group,j,ticker,w_map,ess
selected_support,199,ISRG,0.006223896762165557,978.5707783144154
selected_support,207,JNJ,0.021876829918799665,977.6586245057432
selected_support,225,LMT,0.005206497758585852,975.5889808462082
selected_support,227,LOW,0.0030276548462237975,974.6438251015643
selected_support,238,MCD,0.010162507150658022,973.8325649749103
selected_support,244,MET,0.00659797142650106,976.0502343286277
selected_support,250,MNST,0.003478008238692656,977.5707710399845
selected_support,251,MO,0.007877571140793804,984.4655888851554
selected_support,254,MRK,0.0018693527379359956,979.0079438344089
selected_support,257,MSFT,0.0481723580987045,973.8025239453573
selected_support,266,NFLX,0.001045611723937661,980.7148315685764
selected_support,276,NVDA,0.009552201502926544,984.5042711625682
selected_support,285,ORLY,0.0044560844040580794,974.5505677160553
selected_support,293,PG,0.008315530538192464,978.1301166097339
selected_support,300,PNC,0.003015939736343391,977.337130181216
selected_support,304,PPL,0.0026633864414576046,976.7411903216246
selected_support,308,PWR,0.004140235574794343,976.9112772047063
selected_support,309,PYPL,0.008023229735403054,976.9540017033062
selected_support,344,T,0.006408347029292248,975.0298827923137
selected_support,349,TGT,0.0010530425619535782,976.5825566117422
selected_support,355,TRV,0.001147793211470302,975.225200776282
selected_support,365,UNH,0.010662278373593508,978.721691509032
selected_support,391,XOM,0.014568073990060779,975.35250302219
selected_support,396,ZTS,0.0065320868643477656,979.3513607905869
borderline_selected,8,ADP,0.0030875743696585907,975.2022217025096
borderline_selected,238,MCD,0.010162507150658022,973.8325649749103
borderline_selected,90,COO,0.005795417907344234,975.7950960249417
borderline_selected,344,T,0.006408347029292248,975.0298827923137
borderline_selected,18,ALB,0.003439470783272507,981.932410296834
borderline_selected,250,MNST,0.003478008238692656,977.5707710399845
borderline_selected,155,FTV,0.0012850208828575989,977.8360616884164
borderline_selected,142,F,0.0031783846779257032,979.9546235245584
borderline_selected,26,AMGN,0.012397754631123392,974.847441657733
borderline_selected,160,GL,0.00522907037176793,975.2151539886064
borderline_rejected_top50,0,A,0.016777098100330665,976.8370295986848
borderline_rejected_top50,179,HON,0.00729269574742603,976.1756004154522
borderline_rejected_top50,370,V,0.010902671962348159,976.4981722287541
borderline_rejected_top50,223,LIN,0.013248323372418422,976.0043151209841
borderline_rejected_top50,298,PLD,0.0067208199003091955,978.0617608348866
borderline_rejected_top50,35,APH,0.012410294487545255,974.6111922082496
borderline_rejected_top50,347,TEL,0.0069969916111712995,975.0618311954055
borderline_rejected_top50,174,HD,0.012241366316605887,973.8756006880761
borderline_rejected_top50,156,GD,0.011803307295474482,976.1412639423899
borderline_rejected_top50,20,ALL,0.011225394454240999,975.5306557753511
